event,particle_id,particle_name,energy,px,py,pz,charge,energy_group
1,11,electron,45.2,-0.4,0.1,1.9,-1,medium
1,13,muon,62.1,0.2,-0.3,2.5,-1,medium
2,22,photon,30.5,0.1,0.0,1.2,0,medium
2,211,pion,12.7,-0.6,0.4,0.8,1,low
3,2212,proton,95.8,0.5,0.2,3.1,1,high
3,11,electron,28.9,-0.1,0.3,1.4,-1,medium
4,13,muon,55.3,0.4,-0.2,2.7,-1,medium
4,22,photon,20.1,0.0,0.1,0.9,0,medium
5,211,pion,18.4,-0.5,0.3,1.0,1,medium
5,11,electron,34.8,0.2,-0.1,1.7,-1,medium
6,2212,proton,88.6,0.6,0.4,3.5,1,high
6,13,muon,49.7,-0.3,0.2,2.1,-1,medium
7,22,photon,25.9,0.0,0.0,1.1,0,medium
7,211,pion,15.3,-0.2,0.1,0.9,1,low
8,13,muon,52.4,0.3,-0.1,2.6,-1,medium
8,11,electron,29.7,-0.1,0.2,1.3,-1,medium
9,2212,proton,102.4,0.7,0.3,3.8,1,high
9,22,photon,27.6,0.0,0.0,1.0,0,medium
10,13,muon,58.8,0.2,-0.4,2.9,-1,medium
10,11,electron,33.1,-0.2,0.1,1.6,-1,medium
